나의완벽한비서,SBS Plus,소계,5810.41,5444.33,189.73,125.73,255.85,118.66,352.4,319.9,439.98,1213.4,447.97,1052.33,500.46,427.92,366.08,28.47,72.66,0,32.43,75.95,67.07,48.83,3.56,36.03,0,1.09,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
나의완벽한비서,SBS Plus,live,1770.01,1703.31,0.54,0.39,101.92,88.45,40.22,42.39,115.89,377,183,299.78,134.79,318.94,66.7,24.85,6.54,0,18.6,2.75,11.03,1.55,0.13,0.17,0,1.09,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
나의완벽한비서,SBS Plus,vod,4040.4,3741.02,189.19,125.34,153.93,30.21,312.18,277.52,324.09,836.4,264.97,752.55,365.68,108.98,299.38,3.62,66.12,0,13.83,73.2,56.04,47.28,3.43,35.86,0,0,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBC뉴스투데이2부,소계,소계,17390.51,16039.88,73.66,61.2,279.86,316.67,1213.32,819.45,1927.82,858.53,4095.01,3009.79,1678.98,1705.59,1350.63,0,33.35,5.14,40.52,77.47,0.39,179.28,35.33,275.19,400.96,214.75,88.25,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBC뉴스투데이2부,MBC,소계,17390.51,16039.88,73.66,61.2,279.86,316.67,1213.32,819.45,1927.82,858.53,4095.01,3009.79,1678.98,1705.59,1350.63,0,33.35,5.14,40.52,77.47,0.39,179.28,35.33,275.19,400.96,214.75,88.25,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBC뉴스투데이2부,MBC,live,11572.58,10412.37,37.87,0.79,72.14,237.46,777.23,630.57,1334.19,477.31,2803.04,1744.62,1330.22,966.93,1160.21,0,5.64,4.88,35.08,76.08,0.39,159.61,31.08,260.68,308.12,212.93,65.71,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBC뉴스투데이2부,MBC,vod,5817.93,5627.51,35.79,60.41,207.72,79.21,436.09,188.88,593.63,381.21,1291.97,1265.17,348.76,738.66,190.42,0,27.7,0.26,5.44,1.38,0,19.67,4.26,14.51,92.84,1.82,22.54,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴스TOP10,소계,소계,16357.22,15564.83,13.36,0,35.16,8.95,1724.19,70,701.78,497.89,2683.4,1708.11,4429.25,3692.75,792.39,0.39,43.79,1.07,6.75,182.03,0,272.92,2.6,95.02,42.82,117.2,27.8,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴스TOP10,채널A,소계,16357.22,15564.83,13.36,0,35.16,8.95,1724.19,70,701.78,497.89,2683.4,1708.11,4429.25,3692.75,792.39,0.39,43.79,1.07,6.75,182.03,0,272.92,2.6,95.02,42.82,117.2,27.8,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴스TOP10,채널A,live,5898.36,5551.9,0,0,0.51,8.26,937.22,0.24,275.57,117.45,1015.19,790.01,1610.37,797.07,346.46,0.39,31.48,1.07,6.43,29.21,0,198.03,2.28,8.46,4.11,64.07,0.94,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴스TOP10,채널A,vod,10458.86,10012.93,13.36,0,34.64,0.7,786.97,69.76,426.21,380.43,1668.21,918.1,2818.88,2895.67,445.93,0,12.32,0,0.32,152.82,0,74.88,0.32,86.56,38.71,53.13,26.86,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
