조사모집단 수,조사모집단 수 (명),52322318,33012314,1114459,900845,1860951,1765528,2408873,2407979,3498864,3325970,4116132,4222879,3849765,3540069,19310004,1280335,1128625,2449895,2413741,2503507,2079523,2221997,1546328,1536106,972128,811170,366649,월
--- 1월 데이터 시작 (25행) ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보도,live,130227.06,122902.17,149.96,173.92,816.68,556.24,5087.97,924.16,11938.11,6768.03,25803.37,23159.41,28308.07,19216.24,7324.89,83.21,417.43,96.12,293.42,472.71,193.78,1577.76,74.56,709.37,783.75,2131.51,491.28,2월
보도,vod,308161.32,295762.11,1125.28,370.27,3825.85,2061.66,15200.4,4077.97,26883.43,12458.47,62928.12,45824.41,62113.47,58892.78,12399.21,409.13,842.41,424.54,306.87,1621.66,494.91,1556.2,218.12,2250.09,1813.28,1793.95,668.05,2월
스포츠,Total,47013.33,33845.53,1347.22,156.47,3323.91,878.91,4673.24,1077.38,5766.25,2014.98,3619.55,4305.53,4694.16,1987.93,13167.8,5376.98,56.45,3270.25,434.85,1415.53,310.35,530.28,343.14,552.14,339.31,480.04,58.49,2월
스포츠,live,16799.25,13842.28,122.07,16.84,1151.69,104.57,1517.9,353.02,3081.66,1092.64,2306.93,1320.39,2258.35,516.22,2956.97,817.09,6.2,431.3,146.43,228.3,288.7,183.11,95.18,254.44,158.04,289.68,58.49,2월
스포츠,vod,30214.09,20003.25,1225.14,139.63,2172.22,774.34,3155.34,724.36,2684.59,922.34,1312.62,2985.14,2435.81,1471.71,10210.83,4559.89,50.25,2838.95,288.42,1187.24,21.64,347.16,247.96,297.7,181.27,190.35,0.0,2월
어린이(유아),Total,7632.02,5214.19,73.75,46.74,372.08,145.34,183.85,208.84,404.0,273.06,628.92,1025.79,934.85,916.96,2417.83,24.51,5.7,17.3,45.34,1960.47,108.62,19.56,26.86,124.28,74.98,10.21,0.0,2월
어린이(유아),live,246.36,208.08,0.0,38.77,0.75,10.43,9.01,4.77,1.83,4.95,22.91,20.3,73.48,20.88,38.27,0.0,0.0,0.0,0.0,0.0,26.99,0.0,7.78,0.0,0.0,3.5,0.0,2월
어린이(유아),vod,7385.66,5006.11,73.75,7.97,371.33,134.91,174.84,204.07,402.17,268.1,606.02,1005.49,861.38,896.09,2379.55,24.51,5.7,17.3,45.34,1960.47,81.63,19.56,19.07,124.28,74.98,6.71,0.0,2월
오락,Total,453831.61,406856.68,13369.48,11156.92,17592.59,27748.76,40179.71,32958.42,38191.14,44473.5,35879.5,67822.33,37989.96,39494.37,46974.93,2840.16,1022.32,5854.21,4209.15,10210.78,5269.29,4453.37,3606.77,3591.68,1977.35,3456.99,482.85,2월
오락,live,65906.15,59932.81,1192.6,1450.03,2635.83,2868.99,5847.32,4753.29,6441.32,7002.9,5196.83,9839.52,6438.17,6266.01,5973.34,87.82,36.64,395.78,643.06,1716.51,693.7,334.29,365.47,407.95,239.66,955.34,97.12,2월
오락,vod,387925.45,346923.87,12176.88,9706.89,14956.75,24879.76,34332.4,28205.13,31749.82,37470.6,30682.66,57982.81,31551.79,33228.36,41001.58,2752.34,985.68,5458.43,3566.09,8494.27,4575.59,4119.08,3241.3,3183.74,1737.69,2501.66,385.74,2월
정보,Total,56212.97,50944.95,1467.97,455.35,2421.77,1272.19,4597.79,2214.25,4762.54,3526.98,10309.25,6935.29,6958.76,6022.82,5268.02,185.51,60.99,447.79,612.91,1056.78,501.54,824.71,216.35,589.25,285.96,344.67,141.55,2월
정보,live,8731.12,8136.59,156.55,65.84,343.19,202.16,713.11,421.99,858.81,311.01,1551.97,1077.29,1574.2,860.47,594.53,1.66,0.0,52.62,13.96,55.07,100.73,15.17,25.39,46.44,134.48,96.85,52.16,2월
정보,vod,47481.85,42808.37,1311.42,389.51,2078.58,1070.04,3884.67,1792.25,3903.74,3215.97,8757.28,5857.99,5384.57,5162.35,4673.49,183.85,60.99,395.17,598.96,1001.71,400.82,809.53,190.96,542.81,151.49,247.82,89.39,2월
--- 3월 데이터 시작 (25행) ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
총합계,Total,1163336.28,1045263.98,14791.19,11806.93,43398.14,40086.35,78429.08,58784.57,107140.93,94431.65,146450.32,153761.83,147094.38,149088.61,118072.3,11381.0,3232.32,14945.75,9582.52,18020.65,10044.87,12040.26,4079.42,14842.96,7073.98,9582.91,3245.67,3월
교육,Total,247.52,243.73,0.0,0.0,0.0,0.0,0.0,0.0,23.81,18.54,0.0,0.0,201.38,0.0,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,0.0,0.0,0.0,3월
교육,live,26.33,26.33,0.0,0.0,0.0,0.0,0.0,0.0,23.81,0.0,0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3월
교육,vod,221.2,217.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.54,0.0,0.0,198.86,0.0,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,0.0,0.0,0.0,3월
기타,Total,641.78,606.25,0.0,13.75,0.0,13.31,47.14,6.08,43.68,74.02,128.9,211.23,4.78,63.34,35.53,0.0,0.0,0.0,0.0,0.0,0.0,7.04,28.49,0.0,0.0,0.0,0.0,3월
기타,live,13.08,13.08,0.0,0.0,0.0,0.56,0.0,0.0,0.0,1.49,0.0,0.0,0.0,11.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3월
기타,vod,628.7,593.16,0.0,13.75,0.0,12.75,47.14,6.08,43.68,72.54,128.9,211.23,4.78,52.31,35.53,0.0,0.0,0.0,0.0,0.0,0.0,7.04,28.49,0.0,0.0,0.0,0.0,3월
드라마&영화,Total,130441.17,114593.36,2275.52,1388.05,6281.73,3493.68,7012.42,7450.6,16533.23,16767.83,15514.2,21209.28,7628.52,9038.32,15847.81,1056.73,163.13,557.95,2170.72,682.54,4235.56,807.84,755.02,2777.37,1455.38,1179.81,5.75,3월
드라마&영화,live,30562.46,26648.61,359.74,162.1,1480.21,732.98,1093.32,1207.45,3395.79,4323.77,2994.23,5076.38,2334.9,3487.74,3913.85,330.92,1.05,18.55,531.61,267.22,1098.85,110.87,119.77,738.94,511.02,184.16,0.89,3월
드라마&영화,vod,99878.71,87944.75,1915.78,1225.95,4801.51,2760.69,5919.11,6243.14,13137.44,12444.06,12519.98,16132.9,5293.61,5550.58,11933.97,725.81,162.08,539.4,1639.11,415.33,3136.71,696.97,635.25,2038.43,944.36,995.64,4.87,3월
보도,Total,411807.26,390429.1,1537.18,584.76,7945.16,3253.2,23372.87,7380.91,39355.83,21567.96,78254.73,53248.28,77607.31,76320.91,21378.16,487.05,981.84,661.84,404.06,2085.81,781.77,3480.71,272.23,3424.21,2806.22,4462.45,1529.96,3월
보도,live,120717.3,111321.4,216.72,122.52,1198.78,671.36,7065.35,2055.88,10744.65,7007.85,24781.15,15045.56,22982.43,19429.15,9395.9,33.1,431.35,223.78,283.36,793.51,449.86,1548.51,121.16,1436.63,1105.02,2389.86,579.78,3월
보도,vod,291089.95,279107.69,1320.46,462.25,6746.38,2581.84,16307.52,5325.03,28611.18,14560.1,53473.58,38202.72,54624.88,56891.76,11982.26,453.95,550.49,438.07,120.71,1292.31,331.91,1932.2,151.07,1987.58,1701.2,2072.59,950.19,3월
스포츠,Total,68110.85,47788.46,682.35,350.65,4751.21,949.51,7409.98,997.94,9858.63,1460.73,7648.32,2390.2,9652.86,1636.08,20322.39,7312.78,121.27,4857.61,566.4,3389.0,477.33,1902.12,177.95,1132.24,120.59,228.43,36.67,3월
스포츠,live,26731.25,21907.84,164.14,32.6,2039.87,303.06,3379.1,232.59,5550.94,651.46,4253.86,1065.74,3933.13,301.36,4823.41,1296.19,0.09,661.38,172.93,658.74,249.53,872.86,48.37,593.99,105.49,162.55,1.29,3월
스포츠,vod,41379.6,25880.62,518.21,318.04,2711.34,646.46,4030.88,765.35,4307.69,809.28,3394.46,1324.46,5719.72,1334.72,15498.98,6016.59,121.18,4196.22,393.47,2730.27,227.8,1029.26,129.59,538.25,15.09,65.88,35.38,3월
어린이(유아),Total,12744.71,11232.56,139.62,270.85,613.1,456.58,442.98,1313.19,533.4,909.54,1237.07,1120.55,1339.84,2855.84,1512.14,163.98,0.0,214.18,24.65,245.29,59.65,221.78,46.65,318.07,5.18,212.71,0.0,3월
어린이(유아),live,327.4,318.88,0.0,0.0,15.4,72.79,14.6,5.42,20.11,45.7,36.25,6.19,65.34,37.09,8.52,0.0,0.0,3.23,0.0,0.11,0.0,0.0,0.0,0.0,5.18,0.0,0.0,3월
어린이(유아),vod,12417.31,10913.68,139.62,270.85,597.7,383.79,428.39,1307.77,513.29,863.84,1200.82,1114.36,1274.5,2818.75,1503.62,163.98,0.0,210.94,24.65,245.18,59.65,221.78,46.65,318.07,0.0,212.71,0.0,3월
오락,Total,484852.92,433251.69,9501.94,8890.21,21777.1,29878.98,36960.55,39087.35,37078.18,50042.4,35679.01,69613.77,42561.6,52180.61,51601.23,1890.25,1760.89,7750.18,5241.61,10741.46,3807.54,5046.09,2597.62,5903.82,2271.64,3138.74,1451.37,3월
오락,live,70282.7,61794.66,1089.47,1250.8,2695.63,2906.04,4643.24,6847.11,6058.63,8527.67,4784.34,9173.44,6336.62,7481.66,8488.05,250.62,189.28,971.0,842.6,1991.53,940.81,872.53,256.49,607.62,599.34,634.19,332.05,3월
오락,vod,414570.21,371457.03,8412.47,7639.41,19081.47,26972.94,32317.3,32240.23,31019.55,41514.72,30894.67,60440.33,36224.98,44698.95,43113.18,1639.63,1571.61,6779.19,4399.01,8749.93,2866.73,4173.57,2341.13,5296.2,1672.3,2504.55,1119.32,3월
정보,Total,54490.08,47118.84,654.58,308.67,2029.84,2041.09,3183.13,2548.5,3714.17,3590.63,7988.1,5968.52,8098.1,6993.51,7371.24,470.2,205.19,903.99,1175.07,876.55,683.02,574.67,201.44,1283.44,414.97,360.77,221.91,3월
정보,live,9059.49,8453.48,87.27,61.39,187.54,367.67,460.86,636.04,917.25,274.36,1217.55,923.21,1995.35,1325.0,606.01,16.82,13.07,37.48,36.78,89.63,8.18,28.04,78.83,86.8,92.57,90.85,26.93,3월
정보,vod,45430.59,38665.36,567.31,247.28,1842.3,1673.42,2722.27,1912.46,2796.92,3316.26,6770.55,5045.31,6102.75,5668.51,6765.23,453.38,192.12,866.51,1138.29,786.92,674.83,546.63,122.61,1196.64,322.4,269.91,194.99,3월
--- 4월 데이터 시작 (25행) ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
총합계,Total,1412770.7,1316919.87,28700.75,14433.75,70789.95,62171.92,114782.36,74011.6,134025.42,112991.35,191656.73,203760.2,164487.47,145108.38,95850.83,4670.7,3019.85,10980.87,8984.6,15338.44,5925.72,14716.01,4719.21,12998.76,5021.54,7384.83,2090.27,4월
교육,Total,231.47,120.81,5.57,0.0,0.0,0.0,7.68,21.43,0.0,3.74,28.59,11.84,27.48,14.48,110.65,0.0,0.0,0.0,110.33,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,4월
교육,live,11.37,11.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,10.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4월
교육,vod,220.1,109.45,5.57,0.0,0.0,0.0,7.68,21.43,0.0,3.74,27.88,11.84,16.83,14.48,110.65,0.0,0.0,0.0,110.33,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,4월
기타,Total,986.95,917.13,0.0,4.8,0.0,51.26,63.14,95.58,37.44,88.98,161.26,216.69,68.37,129.61,69.82,0.13,6.12,5.86,3.18,51.83,0.0,0.0,0.11,2.59,0.0,0.0,0.0,4월
기타,live,57.68,54.49,0.0,0.0,0.0,4.61,7.79,0.0,0.48,0.0,12.29,13.67,15.66,0.0,3.18,0.0,0.0,0.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4월
기타,vod,929.27,862.63,0.0,4.8,0.0,46.65,55.36,95.58,36.96,88.98,148.96,203.03,52.71,129.61,66.64,0.13,6.12,5.86,0.0,51.83,0.0,0.0,0.11,2.59,0.0,0.0,0.0,4월
드라마&영화,Total,217669.37,204423.97,7582.21,2488.82,21117.0,11454.02,21699.7,14664.96,21700.38,27479.62,18830.99,37036.17,8559.41,11810.7,13245.41,492.78,221.34,1612.27,1432.01,1593.96,790.2,2571.06,990.2,1483.28,944.98,887.5,225.83,4월
드라마&영화,live,46462.53,43584.09,855.89,415.39,4583.91,2047.04,3468.85,2931.11,5328.22,6727.83,3845.13,7344.45,2425.44,3610.86,2878.44,174.19,26.97,271.38,270.69,387.73,63.16,532.89,237.88,530.87,231.66,88.53,62.5,4월
드라마&영화,vod,171206.84,160839.87,6726.32,2073.44,16533.09,9406.98,18230.84,11733.85,16372.16,20751.79,14985.87,29691.72,6133.97,8199.84,10366.97,318.59,194.37,1340.89,1161.32,1206.23,727.04,2038.17,752.32,952.41,713.33,798.97,163.33,4월
보도,Total,487839.44,468921.98,2953.98,842.45,12282.71,5283.08,30920.89,11885.14,49222.51,22605.64,97097.38,72962.78,91463.79,71401.62,18917.46,368.76,1181.04,489.27,423.99,1139.61,200.45,3971.7,415.87,3561.41,2073.93,3594.37,1497.08,4월
보도,live,150407.71,142605.54,627.24,307.63,3502.9,844.94,8174.06,4231.03,16148.09,7818.39,31851.13,23581.66,29269.97,16248.5,7802.16,72.67,330.3,235.01,240.49,399.03,68.36,1772.11,249.13,1280.79,637.17,1698.21,818.9,4월
보도,vod,337431.73,326316.43,2326.74,534.82,8779.81,4438.15,22746.83,7654.11,33074.41,14787.25,65246.26,49381.12,62193.82,55153.12,11115.3,296.08,850.75,254.26,183.5,740.59,132.09,2199.59,166.75,2280.62,1436.75,1896.15,678.17,4월
스포츠,Total,91671.03,77673.68,2465.67,295.37,11635.5,1649.29,12075.52,1458.68,18520.19,1568.86,14584.08,2714.93,8299.48,2406.11,13997.36,2706.18,69.41,4354.37,1335.29,1148.99,899.24,1634.65,263.73,1169.08,111.33,295.67,9.4,4월
스포츠,live,44856.68,38456.84,637.53,83.86,5260.45,580.59,4323.29,335.21,11594.86,547.82,8858.1,561.0,4611.81,1062.32,6399.85,2188.09,0.0,723.22,375.94,595.41,511.92,1030.04,194.14,631.23,48.28,92.95,8.64,4월
스포츠,vod,46814.35,39216.84,1828.14,211.52,6375.04,1068.7,7752.23,1123.47,6925.33,1021.03,5725.98,2153.92,3687.67,1343.79,7597.51,518.1,69.41,3631.16,959.35,553.58,387.32,604.62,69.59,537.85,63.05,202.72,0.77,4월
어린이(유아),Total,10749.87,9666.18,273.64,270.18,650.89,456.0,579.02,402.69,783.01,1347.53,538.83,1495.32,1566.29,1302.78,1083.69,28.89,39.43,29.88,180.44,297.41,110.63,243.37,32.81,57.2,26.14,37.49,0.0,4월
어린이(유아),live,498.63,435.3,0.0,29.86,9.27,71.79,22.09,14.16,66.25,13.6,29.79,31.24,108.09,39.14,63.34,0.0,0.0,2.94,9.45,27.2,11.08,0.75,8.52,3.41,0.0,0.0,0.0,4월
어린이(유아),vod,10251.23,9230.88,273.64,240.32,641.62,384.21,556.93,388.53,716.76,1333.93,509.04,1464.08,1458.2,1263.63,1020.35,28.89,39.43,26.93,171.0,270.21,99.55,242.63,24.29,53.79,26.14,37.49,0.0,4월
오락,Total,543553.98,501113.59,14137.37,9623.96,23188.8,40897.22,45719.0,42878.18,39403.2,55556.43,50406.45,81571.84,47352.67,50378.47,42440.39,814.79,1394.56,3397.05,5075.56,9790.61,3634.03,5520.26,2642.09,6240.95,1767.76,1838.55,324.19,4월
오락,live,77850.5,71587.25,1251.57,1061.71,2779.1,4559.29,5945.12,6436.55,6459.54,9130.66,5918.91,12436.79,8638.14,6969.86,6263.24,143.06,81.46,435.91,600.73,1841.98,528.69,937.11,402.09,884.4,270.52,113.42,23.87,4월
오락,vod,465703.48,429526.34,12885.8,8562.25,20409.7,36337.93,39773.88,36441.63,32943.66,46425.77,44487.54,69135.04,38714.53,43408.61,36177.14,671.73,1313.1,2961.14,4474.83,7948.63,3105.35,4583.15,2239.99,5356.55,1497.24,1725.12,300.32,4월
정보,Total,60068.6,54082.54,1282.31,908.16,1915.06,2381.06,3717.41,2604.94,4358.7,4340.54,10009.14,7750.64,7149.98,7664.62,5986.06,259.19,107.94,1092.18,423.8,1316.02,290.85,774.97,374.41,484.26,97.4,731.27,33.77,4월
정보,live,9841.99,9281.27,90.82,85.44,328.22,168.21,548.96,395.55,1102.45,594.51,1373.42,979.89,2249.0,1364.8,560.72,110.94,2.54,41.3,0.0,38.9,28.29,206.4,9.32,45.26,41.8,35.96,0.0,4월
