station_code,people_in,people_out,geo.latitude,geo.longitude
150.0,257912.0,235874.0,37.554648,126.972559
151.0,122293.0,117918.0,37.564718,126.977108
152.0,200166.0,187788.0,37.570161,126.982923
153.0,144951.0,132682.0,37.571607,126.991806
154.0,134523.0,133091.0,37.570926,127.001849
155.0,78278.0,74919.0,37.57142,127.009745
156.0,90213.0,89973.0,37.575297,127.025087
157.0,112295.0,115375.0,37.578103,127.034893
158.0,139176.0,138502.0,37.580178,127.046835
159.0,66854.0,69075.0,37.572627,127.016429
201.0,133905.0,127638.0,37.564718,126.977108
202.0,242315.0,242522.0,37.566014,126.982618
203.0,125079.0,121326.0,37.566295,126.99191
204.0,80334.0,77777.0,37.566941,126.998079
205.0,80111.0,88789.0,37.565138,127.007896
206.0,94349.0,98046.0,37.565972,127.01782
207.0,92051.0,91222.0,37.564354,127.029354
208.0,102406.0,85719.0,37.561533,127.037732
209.0,44653.0,45135.0,37.555273,127.043655
210.0,127969.0,136027.0,37.547184,127.047367
211.0,212743.0,228074.0,37.544581,127.055961
212.0,224098.0,239353.0,37.540693,127.07023
213.0,157879.0,159518.0,37.537077,127.085916
214.0,197259.0,192799.0,37.535095,127.094681
215.0,88193.0,86638.0,37.520733,127.10379
216.0,422465.0,416141.0,37.51395,127.102234
217.0,137035.0,138161.0,37.511687,127.086162
218.0,43484.0,46444.0,37.510997,127.073642
219.0,312958.0,307847.0,37.508844,127.06316
220.0,342613.0,301102.0,37.504503,127.049008
221.0,314496.0,331003.0,37.500622,127.036456
222.0,506682.0,485218.0,37.497175,127.027926
223.0,205637.0,223802.0,37.493415,127.01408
224.0,129539.0,125150.0,37.491897,127.007917
225.0,107542.0,111224.0,37.481426,126.997596
226.0,239161.0,254393.0,37.47653,126.981685
227.0,187478.0,186633.0,37.47693,126.963693
228.0,317904.0,314892.0,37.481247,126.952739
229.0,165098.0,159623.0,37.482362,126.941892
230.0,446137.0,442071.0,37.484201,126.929715
231.0,184055.0,182676.0,37.487462,126.913149
232.0,401354.0,403254.0,37.485266,126.901401
233.0,173367.0,177647.0,37.49297,126.895801
234.0,326722.0,318998.0,37.508725,126.891295
235.0,133105.0,135487.0,37.517933,126.89476
236.0,150127.0,151782.0,37.52497,126.895951
237.0,117222.0,133773.0,37.53438,126.902281
238.0,188589.0,193569.0,37.549463,126.913739
239.0,304957.0,311340.0,37.557192,126.925381
240.0,203313.0,208182.0,37.555134,126.936893
241.0,72050.0,75074.0,37.556733,126.946013
242.0,66343.0,65935.0,37.557345,126.956141
243.0,63849.0,65971.0,37.559973,126.963672
244.0,19276.0,19354.0,37.561904,127.050899
245.0,10617.0,12306.0,37.57004,127.046481
246.0,25382.0,25584.0,37.575297,127.025087
247.0,9968.0,10206.0,37.514287,126.882768
248.0,43972.0,47705.0,37.512398,126.865819
249.0,65787.0,69665.0,37.520074,126.852912
250.0,16185.0,17086.0,37.574028,127.038091
309.0,22298.0,22366.0,37.648048,126.913951
310.0,134247.0,129858.0,37.636763,126.918821
311.0,254489.0,243537.0,37.619001,126.921008
312.0,109871.0,119988.0,37.610469,126.929887
313.0,97642.0,90912.0,37.600927,126.935756
314.0,114433.0,112278.0,37.589066,126.943736
315.0,26502.0,27480.0,37.582299,126.950291
316.0,44847.0,47321.0,37.574571,126.957748
317.0,107135.0,104787.0,37.575762,126.97353
318.0,104008.0,104947.0,37.576477,126.985443
319.0,57727.0,65984.0,37.571607,126.991806
